Kom.nr;By
101;K›benhavns Kommune
147;Frederiksberg Kommune
151;Ballerup Kommune
153;Br›ndby Kommune
155;Drag›r Kommune
157;Gentofte Kommune
159;Gladsaxe Kommune
161;Glostrup Kommune
163;Herlev Kommune
165;Albertslund Kommune
167;Hvidovre Kommune
169;H›je-Taastrup Kommune
173;Lyngby-Taarb‘k Kommune
175;R›dovre Kommune
183;Ish›j Kommune
185;T†rnby Kommune
187;Vallensb‘k Kommune
190;Fures› Kommune
201;Aller›d Kommune
210;Fredensborg Kommune
217;Helsing›r Kommune
219;Hiller›d Kommune (3)
223;H›rsholm Kommune
230;Rudersdal Kommune
240;Egedal Kommune
250;Frederikssund Kommune (3)
260;Halsn‘s Kommune
270;Gribskov Kommune
400;Bornholms Kommune
253;Greve Kommune
259;K›ge Kommune
265;Roskilde Kommune
269;Solr›d Kommune
306;Odsherred Kommune
316;Holb‘k Kommune
320;Faxe Kommune
326;Kalundborg Kommune
329;Ringsted Kommune
330;Slagelse Kommune
336;Stevns Kommune
340;Sor› Kommune
350;Lejre Kommune
360;Lolland Kommune
370;N‘stved Kommune
376;Guldborgsund Kommune
390;Vordingborg Kommune
410;Middelfart Kommune
420;Assens Kommune
430;Faaborg-Midtfyn Kommune
440;Kerteminde Kommune
450;Nyborg Kommune
461;Odense Kommune
479;Svendborg Kommune
480;Nordfyns Kommune
482;Langeland Kommune
492;’r› Kommune
510;Haderslev Kommune (3)
530;Billund Kommune
540;S›nderborg Kommune
550;T›nder Kommune (3)
561;Esbjerg Kommune (3)
563;Fan› Kommune
573;Varde Kommune (3)
575;Vejen Kommune
580;Aabenraa Kommune
607;Fredericia Kommune
621;Kolding Kommune (3)
630;Vejle Kommune (3)
615;Horsens Kommune (3)
657;Herning Kommune
661;Holstebro Kommune
665;Lemvig Kommune
671;Struer Kommune
706;Syddjurs Kommune
707;Norddjurs Kommune (3)
710;Favrskov Kommune (3)
727;Odder Kommune
730;Randers Kommune (3)
740;Silkeborg Kommune
741;Sams› Kommune
746;Skanderborg Kommune (3)
751;Aarhus Kommune
756;Ikast-Brande Kommune
760;Ringk›bing-Skjern Kommune
766;Hedensted Kommune (3)
779;Skive Kommune
791;Viborg Kommune (3)
773;Mors› Kommune
787;Thisted Kommune
810;Br›nderslev Kommune
813;Frederikshavn Kommune
820;Vesthimmerlands Kommune (3)
825;L‘s› Kommune
840;Rebild Kommune (3)
846;Mariagerfjord Kommune (3)
849;Jammerbugt Kommune
851;Aalborg Kommune
860;Hj›rring Kommune
